3,3,22,[1 2 3 4]
5,5,18,[1 2 3 4],[1 2 5 6]
6,6,16,[1 2 3 4],[1 5 6 7]
7,7,14,[1 2 3 4],[1 2 5 6],[1 2 7 8]
7,8,13,[1 2 3 4],[1 2 5 6],[3 4 5 6]
8,8,12,[1 2 3 4],[1 2 5 6],[3 4 5 7]
8,7,13,[1 2 3 4],[1 3 5 6],[2 4 5 6]
9,9,10,[1 2 3 4],[1 2 3 5],[1 4 6 7],[2 5 6 8]
10,10,8,[1 2 3 4],[1 2 5 6],[1 2 7 8],[3 4 5 6]
10,9,9,[1 2 3 4],[1 2 5 6],[1 3 7 8],[2 4 7 8]
9,10,9,[1 2 3 4],[1 2 5 6],[1 3 7 8],[3 4 5 6]
11,11,6,[1 2 3 4],[1 2 3 5],[1 4 5 6],[2 4 6 7],[3 5 7 8]
11,12,5,[1 2 3 4],[1 2 5 6],[1 2 7 8],[3 4 5 6],[3 4 7 8]
12,12,4,[1 2 3 4],[1 2 5 6],[1 2 7 8],[3 4 5 6],[3 5 7 8]
8,9,11,[1 2 3 4],[1 2 5 6],[1 3 5 7],[1 4 6 8],[3 4 5 6]
9,8,11,[1 2 3 4],[1 2 5 6],[1 3 5 7],[1 4 7 8],[2 4 5 7]
9,7,12,[1 2 3 4],[1 2 5 6],[1 3 5 7],[2 3 6 7],[2 4 5 7]
11,10,7,[1 2 3 4],[1 2 5 6],[1 3 5 7],[2 3 6 7],[4 5 6 7]
10,11,7,[1 2 3 4],[1 2 5 6],[1 3 5 7],[2 4 6 7],[3 4 5 6]
7,9,12,[1 2 3 4],[1 2 5 6],[1 3 6 7],[1 4 5 7],[2 3 5 7]
12,11,5,[1 2 3 4],[1 2 5 6],[1 3 7 8],[2 4 7 8],[3 5 6 7]
11,13,4,[1 2 3 4],[1 2 5 6],[1 4 7 8],[2 3 7 8],[3 4 5 6]
13,11,4,[1 2 3 4],[1 3 5 6],[1 5 7 8],[2 4 5 6],[3 6 7 8]
